"Étude Salaire 2020 - Paysagiste Concepteur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Détails de la soumission"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Avez-vous d'autres activités rémunérées ?"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Quel revenus souhaitez-vous indiquer ?"	""	""	""	""	""
"Séquentiel"	"Heure de soumission"	"De quelle école êtes-vous diplômé(e) ?"	"Autre diplôme"	"En quelle année avez-vous été diplômé(e) ?"	"Combien d'années d'expérience avez-vous ?"	"Quelle est votre région actuelle ?"	"Autre localisation"	"Quel est votre sexe ?"	"Combien d'enfants à charge avez-vous ?"	"Dans quel type de structure êtes-vous ?"	"Précision concernant le type de structure"	"Quelle est la taille de cette structure ?"	"De quelle convention collective dépend cette structure ?"	"activités d’enseignement"	"activités associatives"	"activités de paysagiste conseils de l’état"	"responsabilités universitaire"	"activité non salariée, en tant que micro-entrepreneurs"	"activité non salariée, en tant qu’entrepreneurs individuels classiques"	"activité non salariée, en tant gérants majoritaires de sociétés"	"activité non déclarée"	"Quel est votre statut ?"	"Quel est votre temps de travail hebdomadaire effectif annualisé ?"	"Etes-vous satisfait(e) de votre charge horaire ?"	"Etes-vous favorable au télétravail ?"	"Quel type de poste occupez-vous ?"	"Autre type de poste"	"Années d'ancienneté"	"Etes-vous satisfait(e) de votre emploi ?"	"Quel est votre revenu ANNUEL NET imposable en 2020 ?"	"Revenu salarial annuel net imposable : somme de tous les salaires perçus par un individu au cours d'une année donnée, nets de toutes cotisations sociales, y compris contribution sociale généralisée (CSG) et contribution au remboursement de la dette sociale (CRDS)."	"Revenu d’activité annuel : rémunération issue de l’activité non salariée, déduction faite des cotisations sociales payées dans l’année mais pas des contributions sociales (CSG non déductible, CRDS). Il est calculé à partir du revenu professionnel imposable auquel sont réintégrés certains allègements fiscaux et cotisations sociales facultatives : chiffre d’affaires des micro-entrepreneurs après abattement pour frais professionnels, bénéfice net des entrepreneurs individuels classiques, rémunération des gérants majoritaires (incluant une partie des dividendes)."	"Quel est votre salaire ANNUEL NET imposable en 2020 ?"	"Quel est votre revenu d’activité ANNUEL en 2020 ? "	"Quels sont vos avantages ?"	"Etes-vous satisfait(e) de votre rémunération ?"
"2"	"22/11/2020 - 18:35"	"ENSAPL"	""	"2016"	"4"	"Pays de la Loire"	""	"Femme"	"0"	"Agence de paysage"	""	"11-25"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"2"	"Oui, si flexbile"	"Assistant(e) de projet"	""	"1"	"4"	"24415"	"X"	""	"24415"	""	"Tickets restaurants"	"2"
"3"	"30/12/2020 - 10:35"	"Lullier"	""	"2010"	"10"	"Grand Est"	""	""	"2"	"Entreprise de réalisation"	""	"51-200"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"45"	"3"	"Oui, si flexbile"	"Chargé(e) d'affaires / d'opérations / de missions"	""	"4"	"3"	"30100"	"X"	""	"32500"	""	"Voiture, 10 rtt, panier repas, mutuelle"	"3"
"4"	"30/12/2020 - 11:01"	"Agrocampus Ouest (INH)"	""	"2019"	"2"	"Auvergne-Rhône-Alpes"	""	"Femme"	"0"	"Agence de paysage"	"Maîtrise d'oeuvre"	"6-10"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.D"	"35"	"5 - Très satisfait"	"Oui, y compris à temps complet"	"Assistant(e) de projet"	""	"1"	"5 - Très satisfait"	"19800"	"X"	""	"19800"	""	""	"3"
"5"	"30/12/2020 - 11:30"	"ENSAPBX"	""	"2020"	"0"	"Bretagne"	""	"Homme"	"0"	"Agence de paysage"	""	"2-5"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.D"	"35.5"	"5 - Très satisfait"	"Non, exceptionnellement pour les deux confinements"	"Assistant(e) de projet"	""	"0"	"4"	"20400"	"X"	""	"20400"	""	"Tickets restaurants (60€ par mois)"	"2"
"6"	"30/12/2020 - 11:54"	"Autre"	"CS concepteur paysagiste "	"2020"	"1"	"Hauts-de-France"	""	"Femme"	"0"	"Entreprise de réalisation"	"EURL"	"6-10"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.I"	"35"	"5 - Très satisfait"	"Oui, si flexbile"	"Paysagiste conseil"	""	"2"	"4"	""	"X"	"X"	""	""	"Panier repas "	"3"
"7"	"30/12/2020 - 14:17"	"Autre"	""	"1998"	"25"	"Occitanie"	""	""	"2"	"Entreprise de réalisation"	""	"6-10"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"5 - Très satisfait"	"Oui, y compris à temps complet"	"Responsable d'agence / bureaux"	""	"2"	"5 - Très satisfait"	"40000"	"X"	""	"35000"	""	""	"0 - Pas du tout satisfait"
"8"	"30/12/2020 - 15:20"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2014"	"6"	"Paris"	""	"Homme"	"2"	"Agence de paysage"	""	"6-10"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"5 - Très satisfait"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"5"	"5 - Très satisfait"	"34000"	"X"	""	""	""	"Rtt, ticket resto"	"4"
"9"	"30/12/2020 - 15:31"	"INSA-CVL-ENP (ex: ENSNP)"	""	"2020"	"0"	"Île-de-France"	""	"Homme"	"0"	"Agence de paysage"	""	"6-10"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.D"	"39"	"4"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"0"	"4"	""	"X"	""	"24000"	""	"Tickets restaurants "	"4"
"10"	"30/12/2020 - 16:28"	"Lullier"	""	"2007"	"13"	"Grand Est"	""	"Femme"	"2"	"Fonction publique"	"Parc naturel régional "	"26-50"	"Fonction publique territoriale"	""	""	""	""	""	""	""	""	"Contractuel dans la fonction publique"	"45"	"3"	"Oui, si flexbile"	"Chef(fe) de projet confirmé"	""	"5"	"5 - Très satisfait"	"24500"	"X"	""	"20000"	""	"Rtt tickets, restaurants, frais déplacements "	"4"
"11"	"31/12/2020 - 01:05"	"Agrocampus Ouest (INH)"	""	"2019"	"1"	"Pays de la Loire"	""	"Homme"	"0"	"Agence de paysage"	""	"2-5"	"Convention collective nationale des entreprises d'architecture"	""	""	""	""	""	""	""	""	"C.D.I"	"43"	"3"	"Oui, si flexbile"	"Chargé(e) d'étude"	""	"1"	"4"	"20400"	"X"	""	"20400"	""	"Frais telephone"	"3"
"12"	"31/12/2020 - 13:43"	"ESAJ"	""	"1993"	"26"	"Bretagne"	""	"Homme"	"2"	"Agence de paysage"	""	"6-10"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"C.D.I"	"50"	"3"	"Non, uniquement pour le premier confinement"	"Chef(fe) de projet confirmé"	""	"26"	"5 - Très satisfait"	"36881"	"X"	""	"37108"	""	"PEE"	"4"
"13"	"01/01/2021 - 23:56"	"ENSP Versailles"	""	"2019"	"1"	"Île-de-France"	""	""	"0"	"Bureau d'études"	""	"11-25"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.D"	"39"	"4"	"Oui, si flexbile"	"Chargé(e) d'étude débutant"	""	"1"	"1"	"19800"	"X"	""	""	""	""	"2"
"14"	"02/01/2021 - 12:20"	"Autre"	"Technicien jardin espace vert"	"2019"	"3"	"Pays de la Loire"	""	""	"0"	"Freelance / Indépendant"	""	"1"	"Convention collective nationale des entreprises du paysage"	""	""	""	""	""	""	""	""	"Micro-entrepreneur (ME / Auto-entrepreneur)"	"39"	"5 - Très satisfait"	"Non, pas du tout"	"Autre"	""	"3"	"5 - Très satisfait"	"12000"	""	"X"	""	"12000"	""	"0 - Pas du tout satisfait"
"15"	"02/01/2021 - 14:35"	"ENSP Versailles"	""	"2019"	"3"	"Île-de-France"	""	"Femme"	"0"	"Bureau d'études"	""	"51-200"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.I"	"39"	"2"	"Oui, y compris à temps complet"	"Chargé(e) d'étude débutant"	""	"1"	"0 - Pas du tout satisfait"	"25200"	"X"	""	"252000"	""	"Aucun"	"4"
"16"	"11/01/2021 - 08:53"	"ENSAPL"	""	"2018"	"3"	"Autre"	"Asie"	"Homme"	"1"	"Agence de paysage"	""	"2-5"	"Je ne sais pas"	""	""	""	""	""	""	""	""	"C.D.D"	"42"	"4"	"Oui, si flexbile"	"Chef(fe) de projet"	""	"1"	"3"	"24960"	"X"	""	"24960"	""	"Couverture assurance médicale expat + 1Billet avion A/R France"	"3"
"17"	"13/01/2021 - 13:25"	"ENSP Versailles"	""	"2004"	"17"	"Île-de-France"	""	"Femme"	"1"	"Agence de paysage"	"SARL"	"6-10"	"Syntec: Convention collective nationale des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de conseils"	""	""	""	""	""	""	""	""	"Dirigeant de SARL"	"55"	"3"	"Oui, si flexbile"	"Directeur(trice)/Dirigeant(e) de société"	""	"12"	"5 - Très satisfait"	""	""	"X"	""	"52000"	"PEE, voiture"	"3"
